date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
20130502,sh.000001,2170.783,2179.647,2161.14,2174.123,2177.912,6833793600,59877609929,3,0.003464,1,-0.173977,0
20130503,sh.000001,2179.049,2222.811,2179.049,2205.497,2174.123,8858346400,78315703425,3,0.004489,1,1.443066,0
20130506,sh.000001,2212.495,2236.066,2212.495,2231.166,2205.497,9226814600,81625607393,3,0.004676,1,1.163862,0
20130507,sh.000001,2227.861,2240.256,2219.435,2235.575,2231.166,8645235600,79040924815,3,0.004381,1,0.197607,0
20130508,sh.000001,2242.393,2255.208,2235.417,2246.3,2235.575,9037193300,81390848352,3,0.004579,1,0.479747,0
20130509,sh.000001,2246.963,2247.864,2221.384,2232.971,2246.3,9853163700,91165292599,3,0.004993,1,-0.59338,0
20130510,sh.000001,2228.819,2247.674,2225.812,2246.831,2232.971,9033547600,81280141888,3,0.004575,1,0.620703,0
20130513,sh.000001,2247.678,2250.854,2231.363,2241.92,2246.831,8621122400,79191481239,3,0.004367,1,-0.21858,0
20130514,sh.000001,2238.904,2239.926,2205.873,2217.01,2241.92,8324497500,75660470722,3,0.004222,1,-1.111097,0
20130515,sh.000001,2217.086,2225.186,2213.582,2224.797,2217.01,7172289300,66658263971,3,0.003637,1,0.351244,0
20130516,sh.000001,2221.337,2252.872,2210.77,2251.806,2224.797,11028437600,1.02E+11,3,0.005591,1,1.213989,0
20130517,sh.000001,2249.811,2288.091,2248.413,2282.87,2251.806,12612600600,1.11E+11,3,0.006393,1,1.379524,0
20130520,sh.000001,2286.328,2309.392,2281.899,2299.986,2282.87,13915051400,1.29E+11,3,0.00705,1,0.749757,0
20130521,sh.000001,2297.11,2305.301,2290.124,2305.114,2299.986,12417317600,1.13E+11,3,0.006291,1,0.222955,0
20130522,sh.000001,2303.75,2314.183,2292.431,2302.403,2305.114,12836002560,1.15E+11,3,0.006492,1,-0.117605,0
20130523,sh.000001,2293.809,2304.953,2274.102,2275.667,2302.403,12401984400,1.11E+11,3,0.006275,1,-1.161225,0
20130524,sh.000001,2281.445,2292.595,2270.25,2288.533,2275.667,10144121300,92021526802,3,0.005132,1,0.565371,0
20130527,sh.000001,2286.661,2301.702,2283.935,2293.077,2288.533,10732506100,99920157617,3,0.005429,1,0.198553,0
20130528,sh.000001,2293.4,2322.099,2281.468,2321.318,2293.077,13263299500,1.20E+11,3,0.006709,1,1.231586,0
20130529,sh.000001,2323.539,2334.335,2321.166,2324.017,2321.318,12525072900,1.14E+11,3,0.006336,1,0.116269,0
20130530,sh.000001,2316.253,2325.721,2310.492,2317.749,2324.017,11191303200,1.04E+11,3,0.005661,1,-0.269708,0
20130531,sh.000001,2320.739,2325.534,2299.369,2300.595,2317.749,10816255488,1.01E+11,3,0.005471,1,-0.740117,0
20130603,sh.000001,2300.209,2313.425,2294.113,2299.252,2300.595,9688281344,91601682432,3,0.004862,1,-0.058377,0
20130604,sh.000001,2297.1,2297.1,2264.761,2272.416,2299.252,10189581800,92377181551,3,0.005112,1,-1.16716,0
20130605,sh.000001,2270.712,2276.865,2260.871,2270.931,2272.416,7648330300,71142676053,3,0.003837,1,-0.065354,0
20130606,sh.000001,2264.425,2266.692,2240.07,2242.11,2270.931,8153869400,75261584761,3,0.004088,1,-1.269118,0
20130607,sh.000001,2242.263,2250.629,2205.066,2210.898,2242.11,8997807700,81058352191,3,0.004502,1,-1.392089,0
20130613,sh.000001,2190.101,2190.101,2126.216,2148.355,2210.898,9437109400,79714527238,3,0.004721,1,-2.828849,0
20130614,sh.000001,2150.06,2163.846,2142.78,2162.041,2148.355,7785747200,68747761906,3,0.003894,1,0.637047,0
20130617,sh.000001,2165.994,2169.356,2147.029,2156.215,2162.041,7575779000,68440143896,3,0.003789,1,-0.269464,0
20130618,sh.000001,2158.546,2161.681,2138.347,2159.291,2156.215,6963227100,63582678086,3,0.003482,1,0.142654,0
20130619,sh.000001,2150.816,2150.816,2115.793,2143.454,2159.291,7542501600,67080569348,3,0.003732,1,-0.733431,0
20130620,sh.000001,2132.813,2132.813,2082.825,2084.021,2143.454,7778793000,68164538356,3,0.003848,1,-2.772773,0
20130621,sh.000001,2058.978,2085.86,2042.879,2073.095,2084.021,7967322400,67440066220,3,0.003941,1,-0.524276,0
20130624,sh.000001,2068.862,2068.862,1958.401,1963.235,2073.095,10919821500,87969841712,3,0.005399,1,-5.299322,0
20130625,sh.000001,1948.315,1963.566,1849.653,1959.508,1963.235,13815851600,1.05E+11,3,0.006831,1,-0.189836,0
20130626,sh.000001,1954.474,1959.158,1922.824,1951.495,1959.508,10119252700,80892689202,3,0.005002,1,-0.408932,0
20130627,sh.000001,1955.126,1980.54,1942.371,1950.013,1951.495,10581331800,84260408505,3,0.00523,1,-0.075945,0
20130628,sh.000001,1935.516,1987.984,1925.651,1979.206,1950.013,10073796800,77513874673,3,0.004978,1,1.497073,0
20130701,sh.000001,1965.987,1995.916,1957.571,1995.242,1979.206,7805139300,62711812201,3,0.003853,1,0.810218,0
20130702,sh.000001,1992.89,2007.62,1978.428,2006.56,1995.242,8641541800,73980843793,3,0.004265,1,0.567255,0
20130703,sh.000001,1996.506,1996.537,1965.519,1994.268,2006.56,9346647100,76682437035,3,0.0046,1,-0.612596,0
20130704,sh.000001,1982.87,2022.136,1974.103,2006.098,1994.268,10039418300,82685489823,3,0.00494,1,0.593204,0
20130705,sh.000001,2006.191,2021.541,2002.367,2007.199,2006.098,9134522200,75137508120,3,0.004492,1,0.05488,0
20130708,sh.000001,1983.215,1983.215,1953.121,1958.273,2007.199,8413649100,67187833865,3,0.004134,1,-2.437527,0
20130709,sh.000001,1953.602,1969.149,1946.366,1965.454,1958.273,6453873300,52223185846,3,0.003171,1,0.366702,0
20130710,sh.000001,1962.84,2009.36,1960.277,2008.126,1965.454,8979798100,72807806791,3,0.004412,1,2.171101,0
20130711,sh.000001,2011.02,2092.868,2010.4,2072.991,2008.126,15997077300,1.31E+11,3,0.007859,1,3.230125,0
20130712,sh.000001,2068.044,2074.857,2036.05,2039.486,2072.991,12117417500,1.03E+11,3,0.005953,1,-1.616264,0
20130715,sh.000001,2046.119,2076.665,2037.248,2059.39,2039.486,10147035700,88023339258,3,0.004986,1,0.975929,0
20130716,sh.000001,2054.6,2066.363,2038.535,2065.72,2059.39,9673739900,82870901045,3,0.004216,1,0.307376,0
20130717,sh.000001,2061.186,2075.813,2043.231,2044.922,2065.72,10325132100,87993978106,3,0.004498,1,-1.006815,0
20130718,sh.000001,2038.4,2043.372,2016.899,2023.396,2044.922,9213204900,76618528707,3,0.004013,1,-1.052656,0
20130719,sh.000001,2025.317,2035.22,1990.253,1992.648,2023.396,10457757100,87481519970,3,0.004555,1,-1.519626,0
20130722,sh.000001,1977.733,2005.474,1970.639,2004.762,1992.648,8292219000,69649507412,3,0.003612,1,0.607935,0
